gender,sportHobby,belovedSubject,difficultSubject,sleepCycle,group
женский,футбол,математика,МХК,сова,заводилы
женский,плавание,информатика,математика,жаворонок,всезнайки
мужской,бег,русский язык,технологиия,сова,киноманы
женский,плавание,МХК,технология,жаворонок,всезнайки
мужской,бег,информатика,русский язык,голубь,спортсмены
мужской,стрельба из лука,информатика,технология,сова,киноманы
женский,футбол,технология,информатика,голубь,киноманы
мужской,конный спорт,русский язык,математика,жаворонок,всезнайки
мужской,теннис,технология,математика,жаворонок,заводилы
женский,теннис,информатика,технология,сова,киноманы
